epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.986,0.8296,1.66297,1.0636,0.89758,0.87492,0.93274,0.79688,0.59902,0.66511,0.90285,0.000175083,0.000175083,0.000175083
2,276.764,0.68795,0.76011,0.9828,0.9183,0.90138,0.94678,0.82332,0.56639,0.5786,0.88268,0.000315725,0.000315725,0.000315725
3,401.035,0.65728,0.66412,0.96477,0.92518,0.90404,0.95507,0.83104,0.56288,0.54575,0.8809,0.000421651,0.000421651,0.000421651
4,519.933,0.637,0.60654,0.9557,0.94294,0.91889,0.96374,0.84763,0.54302,0.4942,0.87219,0.000369778,0.000369778,0.000369778
5,637.878,0.61536,0.55859,0.94502,0.94562,0.92855,0.96783,0.8548,0.53971,0.46612,0.86943,0.000317704,0.000317704,0.000317704
6,755.924,0.60257,0.52958,0.93946,0.9515,0.93036,0.97005,0.86267,0.53097,0.44742,0.86404,0.00026563,0.00026563,0.00026563
7,873.556,0.58759,0.50339,0.93442,0.95243,0.93929,0.97405,0.8749,0.50036,0.4158,0.85269,0.000213556,0.000213556,0.000213556
8,991.325,0.57599,0.48281,0.92813,0.95722,0.93993,0.97483,0.87888,0.49078,0.40172,0.84875,0.000161482,0.000161482,0.000161482
9,1109.23,0.5635,0.46453,0.92343,0.9569,0.94454,0.97647,0.88511,0.48152,0.39048,0.84713,0.000109408,0.000109408,0.000109408
10,1226.96,0.55283,0.44772,0.91734,0.96007,0.94452,0.97757,0.88551,0.48608,0.38282,0.84472,5.7334e-05,5.7334e-05,5.7334e-05
