epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.343,0.98956,1.7197,1.03004,0.89444,0.89638,0.93013,0.71169,0.70806,0.61052,0.90658,0.00015145,0.00015145,0.00015145
2,278.106,0.80171,0.69035,0.94842,0.92841,0.92504,0.95068,0.74328,0.67322,0.52205,0.89208,0.000283111,0.000283111,0.000283111
3,414.081,0.76563,0.60922,0.93842,0.9378,0.93293,0.95899,0.7636,0.64472,0.48092,0.88439,0.000394752,0.000394752,0.000394752
4,549.949,0.74819,0.56338,0.93037,0.94887,0.93703,0.96351,0.77127,0.63654,0.45123,0.87875,0.00036491,0.00036491,0.00036491
5,683.876,0.72964,0.52889,0.92553,0.95068,0.93926,0.96472,0.7695,0.65186,0.43374,0.88022,0.00033488,0.00033488,0.00033488
6,837.11,0.66888,0.45628,0.90085,0.95853,0.94451,0.96998,0.7893,0.60734,0.39963,0.86926,0.00030485,0.00030485,0.00030485
7,965.918,0.65684,0.43354,0.89524,0.95787,0.94714,0.97048,0.79269,0.60306,0.39197,0.86641,0.00027482,0.00027482,0.00027482
8,1091.57,0.64671,0.41652,0.8912,0.95838,0.94852,0.97069,0.79208,0.60692,0.38212,0.86547,0.00024479,0.00024479,0.00024479
9,1224.45,0.63961,0.4044,0.88842,0.96289,0.95081,0.97356,0.80323,0.58263,0.36732,0.86082,0.00021476,0.00021476,0.00021476
10,1344.59,0.63104,0.39392,0.88464,0.96301,0.95154,0.97302,0.80225,0.58826,0.36313,0.86134,0.00018473,0.00018473,0.00018473
11,1477.93,0.62476,0.38506,0.88348,0.96301,0.95327,0.97452,0.80797,0.57658,0.35521,0.85898,0.0001547,0.0001547,0.0001547
12,1597.7,0.61971,0.3779,0.88129,0.96417,0.95346,0.9756,0.81033,0.5719,0.34977,0.85816,0.00012467,0.00012467,0.00012467
13,1718.62,0.61344,0.36967,0.87872,0.96119,0.95675,0.97589,0.81199,0.57012,0.34584,0.85751,9.464e-05,9.464e-05,9.464e-05
14,1841.13,0.60892,0.36412,0.87841,0.96686,0.95483,0.97505,0.80855,0.5848,0.3432,0.85793,6.461e-05,6.461e-05,6.461e-05
15,1959.73,0.60141,0.35724,0.87517,0.96519,0.95775,0.97643,0.81554,0.56254,0.33722,0.85481,3.458e-05,3.458e-05,3.458e-05
