epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.263,0.89791,1.58561,1.07698,0.89824,0.85934,0.91985,0.74606,0.69017,0.68673,0.94121,0.000185069,0.000185069,0.000185069
2,289.77,0.76033,0.75814,0.99934,0.92334,0.89356,0.94695,0.78395,0.66185,0.58337,0.92372,0.000333732,0.000333732,0.000333732
3,415.764,0.73274,0.661,0.9848,0.93197,0.90021,0.9543,0.79309,0.65368,0.54529,0.92118,0.0004457,0.0004457,0.0004457
4,544.63,0.71248,0.60341,0.97638,0.9335,0.90862,0.95822,0.80196,0.6488,0.52186,0.92013,0.000390868,0.000390868,0.000390868
5,684.152,0.69551,0.5612,0.96766,0.93628,0.91943,0.96442,0.81766,0.60761,0.47722,0.90374,0.000335824,0.000335824,0.000335824
6,808.721,0.68196,0.53348,0.96164,0.94653,0.92649,0.96814,0.82787,0.5963,0.44584,0.89658,0.00028078,0.00028078,0.00028078
7,950.295,0.66822,0.50986,0.95655,0.94651,0.9297,0.97018,0.83631,0.58488,0.42806,0.89226,0.000225736,0.000225736,0.000225736
8,1072.84,0.65561,0.48564,0.94821,0.94888,0.93386,0.97139,0.83477,0.59934,0.42011,0.89243,0.000170692,0.000170692,0.000170692
9,1195.15,0.64502,0.47028,0.94476,0.95074,0.93656,0.97215,0.84004,0.57963,0.41035,0.88854,0.000115648,0.000115648,0.000115648
10,1319.99,0.6334,0.45455,0.93804,0.95361,0.93558,0.97364,0.84387,0.57033,0.39999,0.88327,6.0604e-05,6.0604e-05,6.0604e-05
