epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.651,1.00745,1.74009,1.04948,0.90853,0.88587,0.93113,0.70812,0.71967,0.61248,0.91265,0.00015145,0.00015145,0.00015145
2,279.319,0.81592,0.71036,0.95766,0.93397,0.9176,0.9531,0.74003,0.68159,0.55787,0.89407,0.000283111,0.000283111,0.000283111
3,414.072,0.78093,0.62671,0.94367,0.941,0.92892,0.96013,0.75575,0.67311,0.49009,0.88857,0.000394752,0.000394752,0.000394752
4,545.521,0.76322,0.58342,0.93705,0.9438,0.93963,0.96408,0.76865,0.64907,0.4493,0.88092,0.00036491,0.00036491,0.00036491
5,675.985,0.74267,0.54612,0.93031,0.95014,0.94037,0.96613,0.77785,0.62566,0.42996,0.87384,0.00033488,0.00033488,0.00033488
6,838.821,0.67271,0.465,0.89896,0.95542,0.94353,0.96961,0.78813,0.61206,0.41262,0.86776,0.00030485,0.00030485,0.00030485
7,965.845,0.66071,0.44122,0.89365,0.95739,0.94549,0.96957,0.79231,0.59965,0.39167,0.86422,0.00027482,0.00027482,0.00027482
8,1087.71,0.64899,0.4238,0.88941,0.95449,0.94683,0.97037,0.79164,0.60357,0.38865,0.86541,0.00024479,0.00024479,0.00024479
9,1218.32,0.64035,0.40942,0.88607,0.96244,0.95063,0.97405,0.80081,0.5893,0.37294,0.86067,0.00021476,0.00021476,0.00021476
10,1342.62,0.63097,0.39826,0.88226,0.95906,0.95276,0.97573,0.80572,0.58391,0.36461,0.85918,0.00018473,0.00018473,0.00018473
11,1464.3,0.62284,0.38871,0.87922,0.96034,0.95306,0.97536,0.80637,0.57928,0.35961,0.85839,0.0001547,0.0001547,0.0001547
12,1592.01,0.61723,0.38069,0.87862,0.96425,0.95541,0.97559,0.81077,0.57412,0.3505,0.85657,0.00012467,0.00012467,0.00012467
13,1731.72,0.60968,0.37316,0.87575,0.96248,0.95581,0.97644,0.81132,0.5723,0.34605,0.8553,9.464e-05,9.464e-05,9.464e-05
14,1867.89,0.60509,0.36645,0.87388,0.96351,0.95649,0.97628,0.81229,0.57053,0.34342,0.85432,6.461e-05,6.461e-05,6.461e-05
15,2013.1,0.59764,0.35899,0.87093,0.96368,0.95735,0.9768,0.81386,0.56999,0.34107,0.85337,3.458e-05,3.458e-05,3.458e-05
